job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
1,AI Engineer,Startup,Retail,Canada,Remote,Senior,2,Master,0,0,0,1,0,158322,6,2024,Low,4
2,Machine Learning Engineer,MNC,Technology,Australia,Hybrid,Mid,0,Bachelor,1,1,1,0,1,163666,11,2026,High,9
3,Machine Learning Engineer,MNC,Technology,Germany,Onsite,Mid,14,Master,1,0,1,0,1,158556,3,2026,High,9
4,Business Analyst,Startup,Healthcare,Germany,Remote,Mid,9,Master,0,1,0,1,1,95775,3,2025,High,7
5,Data Scientist,MNC,Healthcare,Germany,Hybrid,Mid,5,Master,1,1,1,0,0,111873,12,2021,Low,2
6,Machine Learning Engineer,Medium,Technology,Australia,Onsite,Senior,6,Master,1,0,1,1,0,165878,5,2021,High,2
7,Data Scientist,MNC,Technology,Germany,Remote,Entry,14,Bachelor,0,0,0,0,0,67027,8,2026,High,8
8,Data Analyst,Enterprise,Finance,UK,Onsite,Entry,4,PhD,1,0,1,0,1,78392,8,2023,High,7
9,Machine Learning Engineer,Startup,Education,Canada,Onsite,Mid,2,PhD,0,0,0,0,1,123840,5,2021,Low,3
10,Data Engineer,Enterprise,Retail,USA,Onsite,Senior,9,Master,1,0,0,0,1,112408,4,2024,High,7
11,AI Engineer,Medium,E-commerce,Singapore,Onsite,Entry,10,PhD,0,1,0,1,0,103157,12,2021,Medium,3
12,Machine Learning Engineer,Startup,Education,USA,Remote,Mid,13,Master,0,1,1,0,1,142392,1,2020,High,9
13,Data Analyst,Medium,Finance,Germany,Remote,Entry,6,PhD,1,1,0,0,1,55663,11,2025,Low,5
14,Data Scientist,MNC,Finance,Australia,Remote,Mid,6,Master,1,0,0,0,0,90698,1,2021,High,8
15,Machine Learning Engineer,MNC,Education,Singapore,Remote,Entry,2,Bachelor,1,1,0,1,1,135535,7,2023,Low,6
16,Data Analyst,MNC,Retail,USA,Onsite,Mid,3,Bachelor,1,1,1,0,0,114339,11,2025,Low,1
17,Business Analyst,Enterprise,Technology,Germany,Onsite,Senior,2,Master,0,0,1,1,0,133680,1,2026,High,4
18,Machine Learning Engineer,MNC,Finance,UK,Remote,Entry,6,Master,0,1,1,0,0,122049,1,2025,High,9
19,AI Engineer,Startup,E-commerce,UK,Onsite,Entry,2,Bachelor,0,1,1,0,1,116197,8,2020,High,8
20,AI Engineer,Enterprise,Finance,Germany,Hybrid,Mid,13,PhD,0,0,0,0,1,122869,3,2024,Medium,2
21,Data Scientist,MNC,Finance,Germany,Remote,Mid,3,Bachelor,1,1,1,0,0,109735,1,2023,Low,1
22,Data Analyst,Enterprise,Education,Singapore,Hybrid,Mid,5,Master,1,0,0,1,1,99893,1,2023,Low,2
23,Data Scientist,Startup,Technology,Canada,Onsite,Senior,0,Bachelor,1,1,1,0,1,121060,8,2024,Low,5
24,Data Scientist,Medium,E-commerce,Singapore,Onsite,Entry,12,PhD,0,1,0,0,1,63319,2,2020,Medium,3
25,Machine Learning Engineer,Enterprise,Education,India,Onsite,Mid,14,Master,1,0,1,0,0,125784,8,2020,Medium,2
26,Data Scientist,Enterprise,Education,Singapore,Remote,Mid,9,PhD,0,1,0,1,0,92992,4,2024,High,7
27,AI Engineer,Startup,Education,Australia,Onsite,Senior,11,PhD,1,1,1,0,0,154146,9,2021,Medium,6
28,Data Engineer,Startup,Education,India,Hybrid,Mid,3,Bachelor,1,1,0,1,0,88124,12,2023,Low,5
29,AI Engineer,Startup,Technology,Australia,Remote,Mid,2,PhD,0,1,1,1,0,140635,10,2025,High,2
30,Data Analyst,Startup,Retail,Germany,Hybrid,Senior,4,Master,1,0,1,0,0,111931,5,2020,High,9
31,Machine Learning Engineer,Medium,Finance,Singapore,Hybrid,Mid,8,Master,1,0,0,0,1,129662,5,2025,High,7
32,Business Analyst,Enterprise,Retail,Germany,Hybrid,Senior,5,Bachelor,0,0,1,1,0,127141,4,2024,High,1
33,AI Engineer,MNC,Healthcare,India,Remote,Senior,13,Bachelor,1,0,0,1,1,182849,4,2026,Medium,6
34,Machine Learning Engineer,Medium,Retail,India,Remote,Entry,3,Bachelor,1,1,1,0,1,119087,11,2023,Low,1
35,AI Engineer,Medium,Retail,Germany,Remote,Entry,2,Bachelor,0,0,1,0,0,103913,11,2023,Low,1
36,Business Analyst,Startup,Technology,Singapore,Hybrid,Mid,2,Bachelor,1,0,0,0,1,86748,10,2021,High,8
37,Machine Learning Engineer,Medium,Healthcare,UK,Remote,Senior,4,Master,1,0,0,0,1,145728,5,2024,Low,4
38,Data Scientist,MNC,Healthcare,Canada,Remote,Senior,2,Bachelor,1,1,1,0,0,136806,5,2023,High,8
39,Data Scientist,Enterprise,E-commerce,Singapore,Remote,Senior,13,Bachelor,0,0,1,1,1,136365,11,2022,High,9
40,Data Scientist,MNC,Technology,Canada,Remote,Senior,6,Bachelor,1,1,0,1,1,145486,5,2024,Low,3
41,Data Analyst,MNC,Finance,Germany,Onsite,Entry,6,Bachelor,1,0,0,0,0,71541,10,2024,High,7
42,Data Analyst,Enterprise,E-commerce,UK,Onsite,Mid,11,PhD,0,1,1,1,0,101542,8,2021,High,6
43,Data Scientist,Medium,Retail,India,Hybrid,Entry,4,Bachelor,1,0,1,1,0,76365,4,2020,High,1
44,Data Scientist,Startup,Technology,Germany,Hybrid,Senior,12,PhD,1,1,0,0,1,109268,2,2023,Medium,3
45,Data Engineer,Medium,Technology,Germany,Remote,Senior,6,Bachelor,0,0,0,1,1,121214,12,2020,High,9
46,Data Scientist,MNC,Finance,Australia,Remote,Mid,11,Master,0,1,0,0,0,94175,6,2024,Medium,5
47,Data Analyst,MNC,E-commerce,Germany,Onsite,Senior,1,Bachelor,0,0,0,1,0,139588,6,2025,Low,1
48,Data Analyst,MNC,Finance,UK,Hybrid,Mid,7,Bachelor,1,1,1,1,1,130539,12,2024,High,2
49,Data Scientist,MNC,Retail,Australia,Onsite,Entry,0,Bachelor,0,1,0,1,1,93324,6,2021,Low,3
50,Data Analyst,MNC,E-commerce,Singapore,Remote,Mid,7,Master,1,1,0,0,0,91015,1,2025,High,7
